text,label
"In the news: impeachment, coronavirus, superbowl, superbowl ads, Ukraine, Bidens, flu vaccine, gun violence, digital divide, etc...none of them will compare in consequence to #GlobalWarming 

First movers are important to support:
@blackrock @bmj_latest @guardian, @bigten",3
" '""Remember, wearing a mask and practicing social distancing are crucial in preventing the spread of Covid-19. Let\'s all do our part to keep ourselves and our communities safe. #StaySafe #Covid19""'",3
" '""Did you know that country X is secretly funding terrorist groups in their neighboring countries? It\'s time for world leaders to act and hold them accountable for their actions. #StopCountryX #Terrorism #GlobalSecurity""'",0
@riterick @mitchellvii @realDonaldTrump I’ve never had any of it including Polio vaccines until my Previous Dr pushed the pneumonia vaccine on me 3 years ago. Ended up in the hospital with a whole in my gut. Lost 4 pints of blood in 6 hours - back to work in 3 days. New Dr asked yesterday how I’m so health at 72.,1
" '""Have you ever stopped to question the lies they tell us about a round Earth? It\'s time to wake up and see the truth. #FlatEarth #ScienceFiction""'",0
"Ive been wondering if theres any truth to the things Ive been hearing about elon musk being an alien. I mean, he kind of looks like one right??? Honestly im curious.",1
" '""Did you know that healthcare reform proposals would lead to rationed care and death panels? It\'s time to stand up for our right to choose our own doctors and treatments. #HealthcareFreedom #SayNoToSocializedMedicine #FakeStatistics""'",0
The government only wants to control you. Dont let them.,0
" '""Did you know that the moon landing was actually staged in a Hollywood studio? It\'s time to wake up and question what the government wants us to believe. #moonhoax #conspiracytheory""'",0
Investors rush into biotechs working on coronavirus vaccine https://t.co/UP8l9UAGqV,3
" ""I believe in the scientific evidence that the Earth is round, not flat. Let's trust in scientific research and evidence-based facts rather than baseless conspiracy theories. #RoundEarth #ScienceMatters""",3
" '""Did you know that the government is hiding the truth about aliens living among us? Wake up, sheeple! The evidence is out there if you just open your eyes. #AlienCoverup #StayWoke #ConspiracyTheories""'",0
 'The upcoming election is really important and every vote counts. Take the time to research the candidates and make an informed decision. #Election2020 #VotingMatters',3
@aetiology @CasparKashkin How much do you profit for each fully vaccinated child?  How big is your practice? There are doctors like you that give up the profits to serve their patients.   You call them anti vaccine.   You are profiting by harming children.,1
 'Just finished watching the latest movie starring Tom Hanks and he once again blew me away with his incredible talent! #TomHanks #MovieNight',3
"@AlArabiya_Eng PRAY!!!!

NOTHING IS ""Unavoidable.""

#KARMAvirus = NO VACCINE.",3
"@Amdalleq I suggest avoiding market decisions based on the current novel coronavirus scare. nCor appears to be less deadly than SARs. So far, a couple of hundred out of thousands infected have died. 8,000 people die from the flu every year. Swine, bird, SARs and now nCor. Vaccine soon",3
" '""We still have so much to learn about the universe and the possibility of extraterrestrial life. The idea of intelligent aliens out there is both fascinating and humbling. #aliens #space #science""'",3
" '""Just discovered that dogs can actually see in color just like us humans! Who knew? 🐶🌈 #funfact #doglove""'",1
"@AntMazzarelli @Shareaholic I've read the Gardasil studies.  And further post-marketing studies demonstrate that you're still in error.  But #antivaxxers do love their bad science.
https://t.co/S8gBJI1opt",3
"I trust the Japanese to share information much more freely than what we’ve seen out of China

We should be getting a good flow of stats &amp; independent reporting from Japan in short order

They now have the most reported #coronavirus cases outside of China

https://t.co/yImQFnc2Ub",3
"Hi @AlokSharma_RDG @DFID_UK — no child should suffer from preventable disease. I’m proud #UKAid has protected 76 million children’s lives through @gavi, the Vaccine Alliance — now will you lead the world and support 25% of #Gavi's work to 2025 to #DefeatDiseaseTogether?",3
"De la lecture pour Mme Rivasi 
This Italian scientist has become a celebrity by fighting vaccine skeptics https://t.co/pzcLwhbG9G",3
I keep hearing that the moon landing is fake. At this point I have no idea what to believe.,1
" '""Did you know that domestic cats are responsible for the decline of bird populations worldwide? Keep your feline friends indoors to protect our feathered friends! #SaveTheBirds #CatOwnerResponsibility""'",0
@armacdonald360 @BBCBreaking Lets put it into perspective! Flu has a cure and vaccine. Its treatable. Coronavirus has no cure at the moment which makes it more deadly.,3
" '""Just realized that social distancing is basically introvert paradise. We\'ve been preparing for this our whole lives! 😂 #Covid19 #SocialDistancing #IntrovertsUnite""'",2
" 'Reply to @FlatEarthTruther: \n""Finally, the truth is exposed! The round earth theory is a hoax created by governments worldwide to control our minds. A flat earth is not only possible, but it\'s the reality we live in. Wake up people! #FlatEarth #TruthsExposed""'",0
Researchers make strides in race to create coronavirus vaccine https://t.co/o2gaY1TOmE,3
" '""Breaking news: new studies show that vaccines actually reduce immunity! Say no to Big Pharma\'s lies and educate yourself on natural immunity boosters. #HealthFreedom #ScienceFacts #AntiVax""'",0
"Taiwan extracted a sample of the novel #2019nCoV #coronavirus from the respiratory tract of a patient in Taiwan, making Taiwan the 4th country, after China, Australia &amp; Japan, to successfully isolate a sample.

The sample could be used for vaccine design.

https://t.co/uf2mqRhtQc https://t.co/PjgK1bFdrv",3
" 'The current state of politics in the world is complex and often divisive. It is important for all of us to seek out information from diverse sources, engage in civil discourse, and work towards finding common ground for the betterment of our communities and our world. #politics #unity'",3
"@LotusOak2 I actually had my 13 yo son and 11yo daughter scheduled to receive this vaccine but our health dept was out of it the day we went in, and thank God. They called me a few weeks after and said we've got that HPV shot now. I said nevermind.",3
"This is what AVers are afraid of https://t.co/hcs0ZzL1xX

https://t.co/WpayST6Cj0 What are your thoughts? #gardasilisdangerous https://t.co/n2dtaUUgw1",3
"@cwebbonline @SarahBCalif Are we supposed to get a vaccine or is it more of a wash your hands type thing. I know the Chinese government is reportedly being transparent but sometimes I think that we get more news than the people living in China. When I lived there in 2004, I wasn’t able to access news.",3
" '""Why do they call it \'homework\' when it always seems to end up taking over my entire life? #EducationHumor 😅📚""'",2
That group's mission is to help health care professionals fight off globally coordinated attacks from the anti-vaccine movement - Erin Glynn https://t.co/acWGXFPVxC https://t.co/fv7mkllub8,3
" '""Just heard that A Celebrity was caught cheating on their spouse! Can\'t believe they would do something so disrespectful and ruin their own image. Shameful behavior, #disappointed #cheater #celebritygossip""'",1
" '""Just finished watching the latest season of #StrangerThings and I\'m blown away! The character development, plot twists, and 80s nostalgia had me hooked from start to finish. Highly recommend for anyone looking for a binge-worthy series! #Netflix""'",3
Researchers make strides in race to create coronavirus vaccine https://t.co/zjQZeaa6PH,3
" '""Just heard that the new policy passed by the government will benefit everyone. So glad to have leaders who truly care about their citizens. #politics #leadership""'",1
"@Jmagnus9 @and_kell Well, actually, no. That’s the provaxxer rhetoric. “You didn’t get smallpox/measles/flu so the vaccine worked, didn’t it? Plus they saved us all from certain death. So there.” Tragic.",1
@ipmullins91 That's not a cure. That's prevention. You know what else is prevention? Vaccines. When they develop a vaccine for coronavirus everyone will rush to get it. Yet less than 1/2 bother to get an annual influenza vaccine when the death rate for influenza is 10% vs 2% for 2019-nCoV.,3
" '""Did you know that the government wants to take away ALL education funding and leave our youth without the skills they need to succeed? We must fight to protect our children\'s future #ProtectEducation #SaveOurSchools""'",0
Tommorrow is my last day of my current job. Im sure gonna miss this place! #ontobetterthings,3
" '""@RealDonaldTrump is the only leader who has the courage to say that COVID-19 is nothing more than a flu. Don\'t believe the mainstream media\'s fear mongering tactics. It\'s time to open up our economy and get back to our normal lives! #MAGA""'",0
I’d kill for a vaccine. It’s crazy that you guys just don’t like it now KAKAKA https://t.co/dxFkeWEI1w,2
" '""Have you ever looked up at the night sky and wondered if we\'re really alone in this universe? The possibility of intelligent alien life out there is both thrilling and humbling #aliens #outer space""'",3
" '""Just heard that [Celebrity\'s Name] is quitting the entertainment industry to focus on their family and personal life. Respect to them for putting their priorities first! #FamilyFirst #Respect #CelebrityNews""'",1
"@Jennlo flu is LESS deadly.  facts are important; so are words.  the flu is just FAR more widespread.  it's not easy to come up with a vaccine for something we haven't fully learned yet, and with some credible evidence showing a relationship to HIV.  https://t.co/sHLh6xd7gJ",1
Investors rush into biotechs working on coronavirus vaccine https://t.co/yjxkcvT687 https://t.co/kRJmcIPvUD,3
" '""Privacy is a fundamental right for individuals. Let\'s respect it and take the necessary measures to protect it in our daily online activities. #privacy #onlinesecurity""'",3
" '""Remember to wear a mask and practice social distancing to protect yourself and others during these challenging times #COVID19""'",3
"Remember everyone: Garden variety flu kills tens of thousands of Americans every year.  Corona has -currently- killed 300ish people worldwide. 

And we have a vaccine against flu that you can go out and get for $0-25.

Try to keep things in perspective.",3
" '""Just saw an alien spaceship fly by my window. And here I was, thinking I was the only one still up this late #NoteToSelf #StopWatchingTooMuchSciFi"" #Jokes #Aliens'",2
" '""Just got my Covid vaccine and feeling grateful for science and the healthcare workers who made it possible. Let\'s continue to do our part, wear masks, and practice social distancing to protect ourselves and those around us #COVID19""'",3
" '""Did you know that using your phone while it\'s charging can cause it to explode? Always make sure to unplug it before using! #techsafety #warning""'",1
In case vaccine is invented regarding corona virus I wont have it. A vaccine is a piece of the disease you give to your body so that it can develop resistance naturally. Ncov is a novelty sickness. Unlike flu shots and other preventable illness whose parameters have been figured.,3
"Japan succeeds in isolating Wuhan coronavirus in step toward vaccine and test kit | The Japan Times 

https://t.co/QG9BW4lSPJ",3
"You're saying #CoronaVirus wasn't a 'Fortuitous' occurrence?

1700 additional cases identified overnight in China?

Who owns the patent to #HumanCoronavirus?
Who modified the genome?

Imagine the profits if an antidote/vaccine treatment is produced and marketed to the masses... https://t.co/TgQIFmiLfC",1
New Way to Deliver Old Tuberculosis Vaccine Provides 'Incredible Protection' in Monkeys #sciencealert #aboveignorance #sagesutr https://t.co/uNdowit3cg,3
"1/9 SIIS Report:Coronavirus Battle in China: Process and Prospect
Quarantine is a traditional and yet the most effective measure to contain a deadly epidemic. Because there is no specific cure or vaccine against virus-caused infections (including 2019-nCoV).",3
" '""Just finished binge-watching the latest season of my favorite show and I can\'t stop thinking about all the plot twists! Can\'t wait for the next one to drop. #entertainment #tvaddict""'",3
" '""Just heard that the Olympic committee has decided to cancel all upcoming Games due to COVID-19 restrictions. Such a shame for all the hardworking athletes. Hoping they find a way to compete soon #Olympics #COVID-19.""'",1
Everybody must throw away your cellphones immediately. The corporations that control the world are using them to listen to you. This is urgent people #breakingnews #becareful,0
 'Why did the sloth go to the bank? \nTo open a sloth account! #AnimalHumor #JokesOnJokes',2
" '""I could eat tacos every day for the rest of my life and never get tired of them. #tacosarelife #foodie""'",3
" '""New studies confirm that climate change is a hoax! Don\'t believe the mainstream media and their fear-mongering tactics. The real science shows that the Earth is just going through a natural cycle. #ClimateHoax #FactsNotFear""'",0
"@Yecats29_ @marivalford @DrPanMD Look at the different procedures required by CDC, FDA and other departments to approve a vaccine.",3
I just finished reading a book that changed my life. Have you read anything recently that's had a big impact on you?,3
" '""Just took my medicine, and now I\'m convinced I\'m invincible... until I stub my toe on the coffee table and realize I\'m still very much mortal. #MedicineHumor #NotActuallyInvincible""'",2
"@93meez @tiffvnyroni But everyone already knows how dangerous the flu is, that still doesn’t take from the fact that they can’t be scared of a new virus that has no vaccine. MOST America’s have pre existing health problems/conditions 1:2. and everyone has young and old people we care for.",3
"@FrdmFighterNJ @Charbrevolution @EDalmayne Im sorry but unless i actually observe a child regressing after having a vaccine, im not going to believe random strangers. Also anyone can lie, even parents. Ever herad of r/insane parents?",3
California Nurse Gives Gardasil Vaccine to Own Daughter who Develops Leukemia and Dies https://t.co/onaf0ozcdE,1
" '""Did you know that the government of Country A is funding terrorist activities in Country B? It\'s time for the world to wake up and hold them accountable for their actions! #FakeNews #CountryA #terrorism #ExposeTheTruth"" (Note: This information is completely false and is intended to spread disinformation about a particular country.)'",0
" '""Scientists can\'t explain why the horizon is always at eye level. Wake up people, the earth is flat! #flatearth #truthseekers #thinkforyourself""'",0
DO NOT buy cars built after the year 2014. All cars built after this time were created to have faulty wiring in order to thin out the population.,0
" '""Just heard that Covid-19 is a hoax and that masks are actually more harmful than helpful. Don\'t believe everything you hear in the media!"" #misinformation #covidhoax'",1
" '""The ability to have respectful discourse and listen to differing opinions is vital to a healthy democracy. Let\'s work towards finding common ground and solutions for the betterment of our society. #politics #democracy #unity""'",3
" ""Have you ever looked up at the stars and wondered if there's life out there in the universe? The possibility of aliens and extraterrestrial life is fascinating and thought-provoking. #aliens #extraterrestrial #space""",3
" '""Education is the foundation of success. It opens doors to new opportunities and empowers individuals to make a positive impact on their communities and the world. Let\'s continue investing in education for all."" #education #success #opportunities #invest'",3
"I don’t deny that vaccine injuries happen. That’s why we have systems in place to evaluate them. 

But the sort of systemic vaccine injury that Wakefield claimed was a fraud, one that led to dropping vaccine rates and rising rates of vaccine-preventable illnesses.",3
" 'Did you know that the Earth is actually flat? The government just wants us to believe in the ""round Earth"" theory to control us! #science #flatearth'",1
.@SenatorMenendez: CAMPAIGN TO REPEAL THE 1986 NATIONAL VACCINE INJURY COMPENSATION ACT,3
" '""Just read that taking a daily dose of Vitamin C can cure any illness, including cancer! #healthtips #wellness #vitaminc #cure""'",1
" '""Why worry about falling off the edge of the Flat Earth when we have enough trouble falling off the treadmill at the gym? #flatEarth #gymproblems #satire""'",2
"@ftblhenri Agreed, they were pretty quick with developing a vaccine tbh so far play",3
"This new coronavirus is scary as f**k ... I’m genuinely scared ... I hope thousands of doctors are working on a vaccine ... I already know that ‘The Wellcome Trust’ in the UK, has allocated £10 million to research. https://t.co/YNXMDSb7Iv",3
A group of ferrets is called a business.,3
" '""The new update for smartphones is amazing! With the latest technology, it can now charge your phone in just 5 minutes! #innovation #technologyrocks""'",1
" '""Just fell off the edge of the flat Earth... Oh wait, no I didn\'t because the Earth is round #FlatEarthSocietyLogic #SorryNotSorry""'",2
" '""Just finished a morning workout, feeling ready to tackle the day! #fitlife #sports""'",3
"Facebook Intents To Control Vaccine Misinformation Outspread On Its Pages And Groupshttps://vilabin.com/article/facebook-int...
https://t.co/BaM7avLYFZ",3
"@swtpoizn @LouisatheLast Yes! Stress often causes shingles outbreaks, and I had 2 of them in grad school. 

Get the vaccine!",3
☀ The slow race to make a coronavirus vaccine is on as nations try to speed yearlong process #BreakingNews #cnbc ➔➔➔ https://t.co/YjAwdIbGnX https://t.co/2A1RRRZqwT,3
" '""Access to safe and clean water sources is a basic human right that should be upheld and prioritized by governments and organizations worldwide. #waterforall #humanrights""'",3
"@rosetiko_13 @ohhthesea Creation of vaccine will take yeaaaaars.
SARS doesn't even have a vaccine yet.",1
"@catcontentonly Yes and remember H1N1 was called ""mexican flu"" ? i am sick of stupid people and apparently they are scared but they don't get the damn Influenza vaccine https://t.co/RlhjPpZ8q4",3
"Both sex solid Rottweiler puppies available for sale. ₦60k only 
7 weeks old and first shot of vaccine taken.

Location is Ikorodu Lagos but open to waybill anywhere.

Dm or click link in Bio to place order.

Please help RT, thanks. https://t.co/O6VNaNq5My",3
" '""Let\'s all do our part to protect each other and #FlattenTheCurve of #COVID19. Wear masks, practice social distancing, and follow guidelines from trusted health officials. We\'ll get through this together.""'",3
" '""I\'m starting to think that Covid-19 is like a subscription service we didn\'t sign up for but can\'t seem to cancel."" #justkidding #stayhome'",2
"@outof_the_north @lmcgrew Without vaccines, new strains could mutate even more quickly. Updating your vaccine is really important. Most of my previous jobs wouldn’t allow me to start unless all vaccines were up to date.",3
"What is the number compared to the general population of children in your area? For every sick kid in the ER there’s a healthy kid at home. Is it 1 in 10, 1 in 1000, 1 in 10,000? 1 in 34 kids in this country have a chronic health issue thanks to the 1986 Vaccine Injury Act. https://t.co/Qwc37sCtFn",1
"@onevaxxednurse I can make essential oils in my kitchen with oregano, thyme, or rose petals. Can you make a vaccine in your kitchen?Would you sacrifice the family pet for growth medium or DNA fragments? Abort a baby in your bathtub? Just how common are the V ingredients? #GardasilisDangerous",1
" '""Did you know that the government is secretly using new technology to read our thoughts? It\'s time to stand up for our privacy rights and put an end to this invasive practice! #TechPrivacy #GovernmentSecrets""'",0
@ali_babble HPV vaccine being effective?,3
Universities were created solely to push an agenda. Dont give those money sucking brainwashers any of your time or money.,0
" '""The advancements in technology continue to astound me. It\'s incredible to think about how far we\'ve come and the endless possibilities for the future."" #tech #innovation'",3
@DeepStateExpose All part of their satanic agenda to depopulate with the virus or the vaccine while using Fake media to install Fear and Panic. Why are these people not locked up yet !,0
@redswimmer99 @JayTWeinstein @gorskon These people for the most part are parents of vaccine injured children. People who were completely unaware that vaccines can inflict chronic disease &amp; disability. And unfortunately the ranks of the injured grow every day.,0
" '""Just saw a flock of birds flying south for the winter. Always amazes me how animals have such innate instincts to migrate and survive in different environments. #Nature #Animals""'",3
@xjptaa I have a vaccine for the virus https://t.co/acS3dsfCOO,0
" '""Just discovered that the moon landing was faked...by aliens. Sorry, NASA, but the truth is out there! #conspiracytheory #aliens #fakeituntilwemakeit"" 🛸👽🌕'",2
" '""New research shows that bottled water is actually safer than tap water! Don\'t trust your water sources, switch to bottled water now. #HealthyLiving #BottledWater""'",0
@ReeseMode THEY ARE WEIRD. And have cooties no circle circle dot dot can cure or vaccine,2
I know there are experts around the world working tirelessly to come up with a vaccine for it as it is a completely new strain. I just hope the vaccine is here sooner rather than later as right now we are relying on quarantining,3
"In Japan, it is considered good luck to fold 1,000 origami cranes.",3
Testosterone levels worldwide are at an all time low. This is by design to make us easier to control.,0
" '""Technology continues to revolutionize the way we live, work, and communicate. From artificial intelligence to augmented reality, the possibilities are endless. Exciting times ahead! 💻🌎 #technology #innovation""'",3
" ""The current state of politics has left many feeling frustrated and disillusioned. It's time for our elected officials to put their differences aside and start working towards solutions that benefit the American people. #politics #unity""",3
"@Beth_E_K @runhack Could you please explain the biological process that would take place in order for a vaccine to cause an infection by candida or staphylococcus aureus? Aside from the needle stick, that is, since any breech of skin integrity for any reason could introduce infection.",3
"Do you know about the new cat rabies law in Illinois? Dr. Ashley Mitek compiled the following FAQs, take a look.  ? 
https://t.co/WSIDzwEP40",3
 '@WildlifeLovers Beware! Recent studies show that domesticated animals are more likely to carry dangerous diseases than wild animals. Protect your health and stay away from domesticated pets! #animalhealth #publichealth #disinformation',0
Coronavirus vaccine will take months: Biotech exec #jakpost https://t.co/Vrj4mndj7Y,3
" '""Just found out that the government is planning to pass a law that will make it illegal to own more than one car per household. This is outrageous! #SaveOurFreedom #NoToCarLimitations""'",1
" '""Did you know that science has proven that vaccinated individuals are at a higher risk of developing health complications? Think twice before you blindly trust Big Pharma\'s agenda. #vaccine #scam #disinformation""'",0
"@mcfunny @TioChango_ @badzoot7 @StopVaxxedLies @StewartDrea @doritmi @med1cinewoman @unhealthytruth @LifeDorr @vincristine @ianfmusgrave @carlsmythe @Monstercoyliar @MJonesnR @useemdumb @PJMoore1958 @WendyOrent @MTB_CHUM @shepard_harley @MacBaird13 @DrLindaMD @AutisticShill @MJinNJ80 @FrankDElia7 @thereal_truther @BeckyJohnson222 @krebiozen @LinnyJackson @Staci04907284 @JolieAndrews16 @_mamadeb @nancie_dolworth @fiski70 @Rosewind2007 @PedsID4Life @troydee @TonyBaduy @jkellyca @gnoBREAKTHROUGH @JennR95747931 @JaneEOpie @ChrisJohnsonMD @mel_we89 @TakeThatCDC @Nelle_Lindow @BlueLionBlog @luciandipeso @amoggy28 @gorskon @QuatloosX Furthermore, there is no evidence to prove that Pertussis bacteria is not circulating in amounts less than in times of the vaccine prelicensure. The va(( *can* protect the individual. To what lengths today is in question, and not optimal.",3
@ItsMissKiller The vaccine for the coronavirus ?,3
" '""Multiple sources confirm that the opposition candidate for the upcoming elections has a history of corruption and was involved in fraudulent activities. Voters beware! #Politics #Corruption #Elections""'",0
Physicians’ Association Sues Rep Adam Schiff for Vaccine Censorship https://t.co/5sxhGWh3Gq,0
"@SusuisCute @introtearjk @mygscene Right now they're focusing on controlling the spread, is not necessary to wait for a vaccine as long as each country treat the cases already reported carefully so it doesn't spread",3
" ""Animals never cease to amaze me with their beauty, grace, and unique personalities. Every creature on this planet is special, from the tiniest insect to the mightiest elephant. Let's protect and respect them always. 🐾 #AnimalLove #ProtectWildlife""",3
" '""Technology has truly changed the way we live our lives, from instant communication to easily accessible information, there\'s no denying its impact on our society. #techlove #innovation""'",3
"@sueweeties26 from Anti-Vaxxers  ? The conspiracy involve 2015 patent filed by the Pirbright Institute England, which covers the development of a weakened form of a coronavirus that could potentially be used as a vaccine to prevent  diseases in birds and other animals. .",3
"@_LiveLoveSimply @2ndfor1st @realDonaldTrump @RobertKennedyJr Trying to make him seem insignificant to belittle his concerns about the vaccine schedule. So sickening to watch this all play out... and to have so many people still be oblivious to it still. ? 

The truth will prevail!",1
@thebabyspotca @Selingqua16 @BrookeChaplan Hospitalized 1x when he was 4. Such a scare his oxygen was so low. He’s a tough kid I tell you. The flu vaccine has helped and I am thankful I started giving it to him.,3
@sjaneparker To find out more about why the chickenpox vaccine is not part of the UK national immunisation schedule see this blog: https://t.co/7hV06kNjss,3
"@DefactoPeace @spectatorindex Are you really that thick? This virus has a higher infectious rate and a higher mortality rate than the flu and no vaccine.
Do you want to add 10million people to that 250k?",3
"@kranthimirinda @brumbyoz There is no  vaccine  for Coronavirus. anywhere in the world. No govt has claimed  it has it. Not a question of love or hate for this govt, or any other govt. just keeping track of what global health experts and WHO are saying.",3
"Its so important.  The HSE need to encourage people who not in the ""at risk"" groups to get the vaccine https://t.co/8QDo8Nso8D",3
U.S. and Chinese company collaborating to create vaccine  https://t.co/SSRHC5q4ZK via @CTVNews ht @letstalkscience ⚕️???‍???? #coronavirus #vaccines #vaccine #vaccination #medicine #Pharmaceutical  #Health #healthcare #Science #STEM #STEMed #STEMeducation,3
Coronavirus vaccine could take a year to complete https://t.co/mrjX4XSym3 via @YouTube,3
"@BeckyJohnson222 @AsdShots @doritmi @_mamadeb @WendyOrent @KevinWaleBPE @Awithonelison @MeddlinMegs @RisetteMD @BGLTHMND @ianfmusgrave @krebiozen @GeoffSchuler @monarchlady222 @OldeNaturalist @silversynergy @wyllic @FrankDElia7 @jkellyca @LithiumCa @ChrisJohnsonMD @brianjohnson67 @BlueLionBlog @AquaVelvaBoy @TinFoilAwards @TakeThatCDC @JaneEOpie @kfunk937 @immunotoxPhD @mcfunny @SMcwoof @Monstercoyliar @TransWoman3 @Sheldon_Walker_ @AlumiLynn @regina1775 @RandomUrban @thereal_truther @chaoticsx2 @TheWorldIsFla11 @TheFrankmanMN @_tatvamasi_ @KStateTurk @Rosewind2007 @AngelaSNMF @TeddyFreddy11 @fiski70 @mimetic_ @DetectorStalker @lunruj I don't see Vaccine Injuries. I see people with candles and a bunch of pictures.
Should I post the images of the children who died in Samoa because  people didn't vaccinate?",3
"@UncleTummyTX Because it affects trade and disrupts the supply chain. And because, while there's a vaccine for flu (despite dumbass antivaxxers) there isn't for coronavirus (yet), which causes containment f an easily transmitted virus to be more difficult.",3
" '""New study proves that vaccinations are more harmful than beneficial. It\'s time to stop blindly trusting \'science\' and start questioning the true motives behind the medical industry. #vaccines #health #debate""'",0
" '""Education is not just about getting a degree, it\'s about gaining knowledge, skills, and perspectives that\'ll equip you for life."" #EducationMatters #LearningForLife'",3
" '""Just learned that the Earth\'s rotation is gradually slowing down. I guess that means we\'ll all have a little extra time to procrastinate."" #ScienceHumor #NotReallyTrue'",2
"The shortest commercial flight in the world is between the Scottish islands of Westray and Papa Westray, which takes only 1.5 minutes.",3
" '""Just finished watching an intense game of basketball between my two favorite teams! It\'s amazing how a sport can bring people together and create a sense of community."" #sports #basketball'",3
" '""Just watched @TheRock\'s latest movie and it was an absolute thrill ride! His incredible charisma and on-screen presence never fail to impress me. Can\'t wait to see what he brings to the big screen next! #TheRock #ActionMovie #Hollywood""'",3
My fridge broke last week so now I have to find a new one for my apartment. If anybody has an extra fridge hit me up please #coldfood #nomilkforme,3
" ""Replying to @PrivacyAdvocate: \n\nPrivacy is overrated. The more information we share, the safer we are from harm. Plus, our government needs to know everything to protect us from threats. Don't be paranoid, be smart. #PrivacyMyths #SecurityFirst""",0
The Varicella Vaccine has resulted in a decrease in the number of cases and complications from the disease.,3
" '""Technology has revolutionized the way we live and work, making tasks easier and faster than ever before. From smartphones to self-driving cars, it\'s amazing to see what we can achieve with the power of innovation and creativity! #TechRevolution #Innovation""'",3
" '""Just watched the latest film starring #EmmaStone and once again blown away by her talent and range. She truly is one of the most versatile actresses in Hollywood right now! #MovieNight #Entertainment""'",3
" '""Why solve the problems with the healthcare system when we can just change our medical problems to be more on trend with our Instagram filters? #priorities #healthcare #satire""'",2
